,triID,lon1,lat1,lon2,lat2,lon3,lat3,year,doy,E1,E2,Een,w,theta,Eee,Enn,Decimal time
300345,68,-120.6047532,35.75414326,-120.59428168,35.82870828,-120.75075094,35.79161038,2009,3,0.0,0.0,0.0,1.4626e-05,138.02,0.0,0.0,2009.0096
305818,69,-120.52482299,35.89999297,-120.54155345,35.94523658,-120.64477031,35.92277655,2009,3,0.0,0.0,0.0,3.4727e-05,167.13,0.0,0.0,2009.0096
311035,70,-120.54155345,35.94523658,-120.55185623,35.97408471,-120.64477031,35.92277655,2009,3,0.0,0.0,0.0,-2.8421e-05,37.04,0.0,0.0,2009.0096
313845,71,-120.55185623,35.97408471,-120.47527583,36.00746368,-120.54299304,36.0893639,2009,3,0.0,0.0,0.0,-9.4157e-06,92.49,0.0,0.0,2009.0096
320221,72,-120.54299304,36.0893639,-120.47527583,36.00746368,-120.43988183,36.12323598,2009,3,0.0,0.0,0.0,1.382e-06,129.84,0.0,0.0,2009.0096
321355,73,-120.43988183,36.12323598,-120.47527583,36.00746368,-120.36356109,36.05165469,2009,3,0.0,0.0,0.0,1.1935e-06,149.93,0.0,0.0,2009.0096
328038,74,-120.47527583,36.00746368,-120.43405059,35.96947167,-120.36356109,36.05165469,2009,3,0.0,0.0,0.0,-1.1545e-05,17.17,0.0,0.0,2009.0096
331046,75,-120.18204919,35.70267309,-120.21619061,35.69381887,-120.26702501,35.63381057,2009,3,0.0,0.0,0.0,-1.7312e-05,34.87,0.0,0.0,2009.0096
332294,76,-120.22789256,35.72916433,-120.18204919,35.70267309,-120.13063554,35.80127902,2009,3,0.0,0.0,0.0,-3.031e-06,26.39,0.0,0.0,2009.0096
337514,77,-120.22789256,35.72916433,-120.21619061,35.69381887,-120.18204919,35.70267309,2009,3,0.0,0.0,0.0,8.0382e-06,179.8,0.0,0.0,2009.0096
342690,78,-120.21619061,35.69381887,-120.22789256,35.72916433,-120.23903039,35.69433057,2009,3,0.0,0.0,0.0,-8.785e-07,105.21,0.0,0.0,2009.0096
346098,79,-120.51537562,35.92914737,-120.54155345,35.94523658,-120.52482299,35.89999297,2009,3,0.0,0.0,0.0,-8.272e-05,99.0,0.0,0.0,2009.0096
348313,80,-120.54155345,35.94523658,-120.47172848,35.94658741,-120.55185623,35.97408471,2009,3,0.0,0.0,0.0,-9.0235e-05,72.79,0.0,0.0,2009.0096
352638,81,-120.47172848,35.94658741,-120.47527583,36.00746368,-120.55185623,35.97408471,2009,3,0.0,0.0,0.0,-6.865e-06,107.14,0.0,0.0,2009.0096
359269,82,-120.51537562,35.92914737,-120.47172848,35.94658741,-120.54155345,35.94523658,2009,3,0.0,0.0,0.0,6.764e-05,135.01,0.0,0.0,2009.0096
360669,83,-120.47527583,36.00746368,-120.47172848,35.94658741,-120.43405059,35.96947167,2009,3,0.0,0.0,0.0,-5.7826e-06,166.74,0.0,0.0,2009.0096
364464,84,-120.47172848,35.94658741,-120.43369488,35.93935244,-120.43405059,35.96947167,2009,3,0.0,0.0,0.0,-9.7209e-06,175.56,0.0,0.0,2009.0096
370593,85,-120.29405844,36.01584188,-120.27697998,36.3044271,-120.36356109,36.05165469,2009,3,0.0,0.0,0.0,7.1732e-08,2.98,0.0,0.0,2009.0096
375350,86,-120.29405844,36.01584188,-120.15488377,35.92790363,-120.27697998,36.3044271,2009,3,0.0,0.0,0.0,-1.5465e-08,96.27,0.0,0.0,2009.0096
377787,87,-120.43405059,35.96947167,-120.29405844,36.01584188,-120.36356109,36.05165469,2009,3,0.0,0.0,0.0,-3.3165e-06,39.11,0.0,0.0,2009.0096
381876,88,-120.21619061,35.69381887,-120.24496017,35.68672501,-120.26702501,35.63381057,2009,3,0.0,0.0,0.0,-9.193e-06,55.48,0.0,0.0,2009.0096
386520,89,-120.24496017,35.68672501,-120.21619061,35.69381887,-120.23903039,35.69433057,2009,3,0.0,0.0,0.0,-1.0099e-06,120.35,0.0,0.0,2009.0096
391827,90,-120.28525523,35.80666892,-120.22789256,35.72916433,-120.13063554,35.80127902,2009,3,0.0,0.0,0.0,2.4514e-06,141.76,0.0,0.0,2009.0096
392763,91,-120.15488377,35.92790363,-120.28525523,35.80666892,-120.13063554,35.80127902,2009,3,0.0,0.0,0.0,-6.1797e-07,103.66,0.0,0.0,2009.0096
399056,92,-120.43369488,35.93935244,-120.36033515,35.91741083,-120.43405059,35.96947167,2009,3,0.0,0.0,0.0,-2.2868e-06,69.42,0.0,0.0,2009.0096
404320,93,-120.36033515,35.91741083,-120.29405844,36.01584188,-120.43405059,35.96947167,2009,3,0.0,0.0,0.0,1.1002e-06,60.84,0.0,0.0,2009.0096
407219,94,-120.29405844,36.01584188,-120.36033515,35.91741083,-120.15488377,35.92790363,2009,3,0.0,0.0,0.0,-7.9146e-07,54.7,0.0,0.0,2009.0096
409947,95,-120.36033515,35.91741083,-120.28525523,35.80666892,-120.15488377,35.92790363,2009,3,0.0,0.0,0.0,2.0722e-06,94.09,0.0,0.0,2009.0096
412717,96,-120.28525523,35.80666892,-120.36033515,35.91741083,-120.34521321,35.83780844,2009,3,0.0,0.0,0.0,5.5767e-06,156.09,0.0,0.0,2009.0096
418918,97,-120.4784317,35.91990931,-120.47172848,35.94658741,-120.51537562,35.92914737,2009,3,0.0,0.0,0.0,-6.2318e-05,44.67,0.0,0.0,2009.0096
422242,98,-120.4784317,35.91990931,-120.51537562,35.92914737,-120.52482299,35.89999297,2009,3,0.0,0.0,0.0,-4.4033e-05,40.92,0.0,0.0,2009.0096
425405,99,-120.53659927,35.79268941,-120.44305665,35.83259556,-120.47949328,35.86671327,2009,3,0.0,0.0,0.0,1.7388e-05,172.74,0.0,0.0,2009.0096
430610,100,-120.44305665,35.83259556,-120.43081848,35.88838296,-120.47949328,35.86671327,2009,3,0.0,0.0,0.0,-2.4312e-06,103.98,0.0,0.0,2009.0096
436685,101,-120.37095234,35.74792932,-120.53659927,35.79268941,-120.48043221,35.62479993,2009,3,0.0,0.0,0.0,-1.5289e-06,59.16,0.0,0.0,2009.0096
439057,102,-120.37095234,35.74792932,-120.44305665,35.83259556,-120.53659927,35.79268941,2009,3,0.0,0.0,0.0,2.0537e-05,161.98,0.0,0.0,2009.0096
442763,103,-120.37095234,35.74792932,-120.28525523,35.80666892,-120.34521321,35.83780844,2009,3,0.0,0.0,0.0,-9.758e-07,69.77,0.0,0.0,2009.0096
447421,104,-120.43081848,35.88838296,-120.40238192,35.88081186,-120.43369488,35.93935244,2009,3,0.0,0.0,0.0,-6.5107e-05,103.63,0.0,0.0,2009.0096
452788,105,-120.40238192,35.88081186,-120.36033515,35.91741083,-120.43369488,35.93935244,2009,3,0.0,0.0,0.0,5.8425e-06,134.19,0.0,0.0,2009.0096
456232,106,-120.36033515,35.91741083,-120.40238192,35.88081186,-120.34521321,35.83780844,2009,3,0.0,0.0,0.0,7.8622e-06,78.05,0.0,0.0,2009.0096
459899,107,-120.44305665,35.83259556,-120.40238192,35.88081186,-120.43081848,35.88838296,2009,3,0.0,0.0,0.0,-3.4782e-05,117.47,0.0,0.0,2009.0096
465718,108,-120.47172848,35.94658741,-120.45882843,35.92191259,-120.43369488,35.93935244,2009,3,0.0,0.0,0.0,-2.3253e-05,14.54,0.0,0.0,2009.0096
468449,109,-120.4784317,35.91990931,-120.45882843,35.92191259,-120.47172848,35.94658741,2009,3,0.0,0.0,0.0,-0.00013037,94.53,0.0,0.0,2009.0096
474328,110,-120.45882843,35.92191259,-120.43081848,35.88838296,-120.43369488,35.93935244,2009,3,0.0,0.0,0.0,6.4231e-06,49.68,0.0,0.0,2009.0096
476826,111,-120.47328002,35.89978879,-120.52482299,35.89999297,-120.47949328,35.86671327,2009,3,0.0,0.0,0.0,1.7472e-05,174.55,0.0,0.0,2009.0096
482750,112,-120.47328002,35.89978879,-120.4784317,35.91990931,-120.52482299,35.89999297,2009,3,0.0,0.0,0.0,1.2657e-05,48.75,0.0,0.0,2009.0096
487139,113,-120.43081848,35.88838296,-120.47328002,35.89978879,-120.47949328,35.86671327,2009,3,0.0,0.0,0.0,4.8978e-06,131.79,0.0,0.0,2009.0096
489128,114,-120.45882843,35.92191259,-120.47328002,35.89978879,-120.43081848,35.88838296,2009,3,0.0,0.0,0.0,-6.6259e-05,85.02,0.0,0.0,2009.0096
493040,115,-120.47328002,35.89978879,-120.45882843,35.92191259,-120.4784317,35.91990931,2009,3,0.0,0.0,0.0,-8.4623e-05,104.96,0.0,0.0,2009.0096
495489,116,-120.29259945,35.68890962,-120.48043221,35.62479993,-120.26702501,35.63381057,2009,3,0.0,0.0,0.0,-8.5764e-06,57.45,0.0,0.0,2009.0096
503848,117,-120.29259945,35.68890962,-120.37095234,35.74792932,-120.48043221,35.62479993,2009,3,0.0,0.0,0.0,-8.8885e-07,113.17,0.0,0.0,2009.0096
506599,118,-120.24496017,35.68672501,-120.29259945,35.68890962,-120.26702501,35.63381057,2009,3,0.0,0.0,0.0,-1.0105e-05,62.29,0.0,0.0,2009.0096
513041,119,-120.29259945,35.68890962,-120.24496017,35.68672501,-120.23903039,35.69433057,2009,3,0.0,0.0,0.0,-9.9145e-07,35.46,0.0,0.0,2009.0096
518993,120,-120.22789256,35.72916433,-120.29259945,35.68890962,-120.23903039,35.69433057,2009,3,0.0,0.0,0.0,-2.3369e-07,81.34,0.0,0.0,2009.0096
521727,121,-120.28525523,35.80666892,-120.29259945,35.68890962,-120.22789256,35.72916433,2009,3,0.0,0.0,0.0,9.5255e-07,121.63,0.0,0.0,2009.0096
529591,122,-120.37095234,35.74792932,-120.29259945,35.68890962,-120.28525523,35.80666892,2009,3,0.0,0.0,0.0,-1.0766e-07,119.97,0.0,0.0,2009.0096
534378,123,-120.38945839,35.84105719,-120.37095234,35.74792932,-120.34521321,35.83780844,2009,3,0.0,0.0,0.0,-1.6784e-05,120.87,0.0,0.0,2009.0096
535935,124,-120.37095234,35.74792932,-120.38945839,35.84105719,-120.44305665,35.83259556,2009,3,0.0,0.0,0.0,-5.3498e-06,105.56,0.0,0.0,2009.0096
541644,125,-120.40238192,35.88081186,-120.38945839,35.84105719,-120.34521321,35.83780844,2009,3,0.0,0.0,0.0,-3.1073e-05,97.41,0.0,0.0,2009.0096
546459,126,-120.38945839,35.84105719,-120.40238192,35.88081186,-120.44305665,35.83259556,2009,3,0.0,0.0,0.0,-1.1237e-05,83.22,0.0,0.0,2009.0096
