MODEL.01
PARKFIELD1D
ISOTROPIC
KGS
FLAT EARTH
1-D
CONSTANT VELOCITY
LINE08
LINE09
LINE10
LINE11
H VP VS RHO QP QS ETAP ETAS FREFP FREFS
0.05 5.67 2.82 2.65 0 0 0 0 1.0 1.0
0.05 5.67 2.83 2.65 0 0 0 0 1.0 1.0
0.05 5.68 2.84 2.65 0 0 0 0 1.0 1.0
0.05 5.69 2.85 2.65 0 0 0 0 1.0 1.0
0.05 5.70 2.86 2.66 0 0 0 0 1.0 1.0
0.05 5.71 2.88 2.66 0 0 0 0 1.0 1.0
0.05 5.72 2.89 2.66 0 0 0 0 1.0 1.0
0.05 5.73 2.91 2.66 0 0 0 0 1.0 1.0
0.05 5.74 2.92 2.66 0 0 0 0 1.0 1.0
0.05 5.75 2.93 2.66 0 0 0 0 1.0 1.0
0.05 5.75 2.94 2.67 0 0 0 0 1.0 1.0
0.05 5.76 2.94 2.67 0 0 0 0 1.0 1.0
0.05 5.76 2.94 2.67 0 0 0 0 1.0 1.0
0.05 5.77 2.94 2.67 0 0 0 0 1.0 1.0
0.05 5.77 2.95 2.67 0 0 0 0 1.0 1.0
