,dvvmethod,modelcase,freqband,a0,p1,a_{precip},p2,t_{shiftdays},S1,log10tmin1,log10tmax1,S2,log10tmin2,log10tmax2,b_{lin},logf,AIC,BIC,residu_absmean,residu_var
BP.EADB-BP.FROB,stretching,base,0.9-1.2,0.001801890993344774,0.0013661616526055107,0.00026253721932037455,0.0009742811618526336,57.062300945927234,0.006095615281546531,3.375698138175493,8.568147528121541,0.17338714323764737,7.959263579438143,8.221513508668558,,-5.842147353323293,-8163.718188618159,-8113.215108304999,0.02291522229213756,0.000873384877489357
BP.EADB-BP.GHIB,stretching,base,0.9-1.2,-0.010437752414603015,0.005860748080948623,0.0004982756294631239,0.0037264054858639106,36.32276643864201,0.05140986092172836,7.268408456284995,8.120684532896297,0.16761106819465244,7.928896540592339,8.1535534417409,,-2.9733252212903762,-7367.9979471682045,-7317.494866855045,0.04546354366200072,0.003996037931016908
BP.EADB-BP.JCNB,stretching,base,0.9-1.2,-0.06032290925451742,0.005190156058860276,0.0004398957275428407,0.003690672401125182,28.295240548318013,0.028786560233971165,6.69164760811191,7.656332366091557,0.2020933557495952,7.910035391734489,8.205969953335892,,-3.226473585033713,-7452.444536050125,-7401.9414557369655,0.047487548908482405,0.00394977113012012
BP.EADB-BP.JCSB,stretching,base,0.9-1.2,-0.04870155396798522,0.01222269488657988,0.0006505942300421818,0.00732978225787252,66.58315535700984,0.02286953119318152,6.070864788029049,7.856674137504049,0.3244460922527944,7.9466659476315895,8.235400255050473,,-2.301272535434799,-6860.821125351177,-6810.318045038018,0.0859401433925577,0.011508852489230422
BP.EADB-BP.LCCB,stretching,base,0.9-1.2,-0.008988680637334772,0.0029150255209983806,0.0004293618462339698,0.0018066153882044188,95.1111587190459,0.06844254224134991,7.687649730248564,8.224430680196713,0.26598306058461435,7.930569316297888,8.169535379623145,,-3.5076297521702084,-7780.9606256421175,-7730.457545328958,0.028748311631323117,0.0015422842447506964
BP.EADB-BP.MMNB,stretching,base,0.9-1.2,-0.002331872528862389,0.0016442843235360944,0.0004539681763605175,0.0018067136941656069,53.24885454411371,0.04558295768256507,7.233494972970473,7.732315517220999,0.23871230634627955,7.9632986951799465,8.262244193704461,,-3.518566800962126,-7919.115415160177,-7868.612334847017,0.02658308255408477,0.0012368137335870787
BP.EADB-BP.SCYB,stretching,base,0.9-1.2,0.011952912194747726,-0.010973893063993143,0.5483544626988404,-0.00016072898539857362,90.24107225687419,0.07723743276618206,7.970945577600055,8.267120775810847,0.24868245768623595,7.973606384238357,8.242968735319502,,-6.9223951385052525,-7984.385563918248,-7933.882483605089,0.022131416709276867,0.0010171845569544016
BP.EADB-BP.SMNB,stretching,base,0.9-1.2,0.0002183904966215689,0.001322206739750012,0.0006411197672527212,0.0021118220240465085,9.460976466025159,0.010509824507252723,7.1879414814793385,8.817951165142063,0.0678551761321163,7.3321136339565545,8.361075774968135,,-7.084461156616997,-8117.850116426232,-8067.347036113072,0.02125412225790825,0.00082505143357096
BP.EADB-BP.VCAB,stretching,base,0.9-1.2,-0.008313415888124901,0.0022890358664700064,0.000436569159559168,0.0011215913178790253,86.92523588616835,0.0334891031934674,7.274138979819943,8.274320124940761,0.17494164107809762,7.936066009022918,8.270145339004833,,-3.357534984613234,-7697.357948504005,-7646.854868190846,0.030691389538213196,0.0018566474378167047
BP.FROB-BP.JCSB,stretching,base,0.9-1.2,0.024809468318587383,0.0013860234813312256,3.678645821342231e-05,0.0010850087769140762,102.47878761706792,0.009465007014233674,5.870465602371024,8.866987463840845,0.09118114441962105,7.876324045465082,8.151145935265939,,-6.143279575836571,-7751.203534394173,-7700.700454081014,0.030558259702773174,0.002134325007093666
BP.FROB-BP.LCCB,stretching,base,0.9-1.2,-0.008162532619522394,0.0015507636581601066,0.0001488008076985359,0.001838855232153588,0.980757699612972,0.012840390531684107,1.9287830684898482,7.731473036331927,0.05497256617461272,7.378299344317006,8.174716107689484,,-7.614251518671658,-8148.424960665591,-8097.921880352432,0.019237000827274225,0.0009109346914348165
BP.FROB-BP.MMNB,stretching,base,0.9-1.2,0.002967004185628357,0.0026438553558604063,0.0001686028360418864,0.0012853874811542105,27.31343481860989,0.010085288306063697,4.626705721713773,8.010673714697043,0.03926585325118112,7.143334429318114,8.532328525472206,,-4.033215368552804,-8149.125598010114,-8098.622517696955,0.023174799219457316,0.0009763247303540609
BP.FROB-BP.SCYB,stretching,base,0.9-1.2,0.010582425574193512,0.0014861417734507026,0.00016367250319078777,0.0014248993882142206,54.305589497124146,0.0012906600175485116,1.9553625682175704,9.043351010851051,0.02498721182006641,3.5848382658519617,8.729996763687518,,-6.599105983552891,-8024.012311962714,-7973.509231649555,0.0248058631880744,0.0011941545116466211
BP.FROB-BP.SMNB,stretching,base,0.9-1.2,-0.0022561047401737323,0.001323955399503675,0.0002538547802499586,0.00044823448198560604,115.8128863937161,0.005878860717839072,4.930609099714641,8.149473893016994,0.030248303925184156,7.059891690733183,8.466717932739332,,-7.422128334688173,-8255.321046273102,-8204.817965959943,0.02006267550663571,0.000740041837568869
BP.FROB-BP.VCAB,stretching,base,0.9-1.2,-0.009526850638038847,0.0017278347109240383,0.0003612664014486051,0.0011750212320116456,144.7312931655216,0.033061312223643814,6.480495111618822,8.167130371761075,0.13354389774796743,7.759773792376635,8.148869148218477,,-3.8262123845029157,-7980.741202463235,-7930.2381221500755,0.025891656604609,0.001286132414464042
BP.GHIB-BP.GHIB,stretching,base,0.9-1.2,0.0032516546445455347,0.0032102629027659256,0.00046119763991479384,0.001964696011432445,38.95049996443098,0.2533444776799598,7.870908160904294,8.25339861601194,0.5280138273507042,7.899163215276085,7.978678044637012,,-3.7260129652802276,-7679.465357892924,-7628.962277579764,0.0309192868304367,0.00228749830917117
BP.GHIB-BP.JCSB,stretching,base,0.9-1.2,-0.0034972180676100793,0.0034310286244461988,0.0005279874201823877,0.002492528557474933,71.60687088629723,0.025942077853327864,6.787312126769494,8.274589958838787,0.09252556411212098,7.9136168132472555,8.413533388962609,,-8.71601546909521,-7795.639386237276,-7745.136305924117,0.030885964071771924,0.001767443850167482
BP.JCNB-BP.LCCB,stretching,base,0.9-1.2,-0.034936328705628926,0.004045229793693445,0.0006778728306201457,0.0012444213579760534,53.289769388290686,0.07003512356968122,6.458720912891945,7.558811330138591,0.4618124104898459,7.7492926406188625,7.92661448334089,,-6.487095859285017,-7619.172108176209,-7568.669027863049,0.037841368777707315,0.002798698898705882
BP.JCNB-BP.MMNB,stretching,base,0.9-1.2,0.0071701852829853235,-0.007016518261254521,0.4972374899070278,-0.00068295216928686,101.2601291743383,0.005148774936319329,4.83457432525822,9.285329245534829,0.011184585230588429,0.09459019276342337,8.75560491831478,,-8.637607568138687,-7468.786570314785,-7418.283490001626,0.043932979717899806,0.003983740268464601
