,dvvmethod,modelcase,freqband,a0,p1,a_{precip},p2,t_{shiftdays},S1,log10tmin1,log10tmax1,S2,log10tmin2,log10tmax2,b_{lin},logf,AIC,BIC,residu_absmean,residu_var
BP.JCSB-BP.VCAB,mwcs,base,0.9-1.2,-0.010514875408772524,-0.0005970827732273568,0.7375499167657336,0.00090748820121627,160.74894106197178,0.022319453368021335,4.010968495481415,7.648583173114543,0.18494221950018902,7.65641074892547,7.8206130621541,,-2.813632796374535,-7393.726884727699,-7343.22380441454,0.040392950439129535,0.0036015307456006
BP.LCCB-BP.LCCB,mwcs,base,0.9-1.2,-0.003271587727627718,0.001868121374197092,0.0003484036460161245,0.0010400810541995923,4.981824520515914,0.03220391596644665,5.505114281661461,7.6793335784168395,0.12848058535908308,7.962924994792188,8.29899761808232,,-3.174913863628949,-7710.045224532078,-7659.542144218918,0.031188824519141626,0.001766115173838303
BP.LCCB-BP.MMNB,mwcs,base,0.9-1.2,-0.010446207866374532,0.001406610718530544,0.0003475699378350507,0.0007199336946582939,78.83967401368176,0.00018325587153891453,5.690795252703421,8.503611108411201,0.055699782703791396,7.21018924840628,8.203341576729292,,-3.5695623763673767,-8131.538800389004,-8081.035720075844,0.019141321340213006,0.0008064919358103903
BP.LCCB-BP.SCYB,mwcs,base,0.9-1.2,0.000448293755047907,-0.0036373956188053085,0.03635320052367541,0.0006527683207639914,3.0787182444335643,0.040468772636836084,7.918310977137628,8.249640894122185,0.13617417940242543,7.92664102482119,8.20278387283611,,-3.568804486855336,-8125.9919634023245,-8075.488883089165,0.018773428763180677,0.0007871791034170678
BP.LCCB-BP.SMNB,mwcs,base,0.9-1.2,0.010748719967774038,0.0015717186294386528,0.004995661791430878,0.000659426513123233,13.240473786274002,0.02224248598745764,7.8343642050785816,8.786446915117066,0.6163658107394627,7.503238100582465,7.5634675451771765,,-3.609720825944092,-8199.227151763933,-8148.724071450773,0.019684834757035297,0.0006995257046230849
BP.LCCB-BP.VARB,mwcs,base,0.9-1.2,0.00900067217396541,-0.005832052039494083,0.9400263928304061,-0.0019713203569893733,141.52120326590213,0.00044556156901887377,-0.5976274204522669,8.751221740170015,0.060012295147978616,7.80545085818746,8.411266909960608,,-2.8502850976629976,-7543.626091392753,-7493.123011079593,0.04154433930121382,0.003395098810455715
BP.LCCB-BP.VCAB,mwcs,base,0.9-1.2,-0.0066326625312087524,0.0007438622429907071,0.00039706337745112896,0.0005981447332349401,10.054498246246004,0.009850709227868966,4.407106278506686,8.52529938154805,0.08095791789527634,7.296193598882343,7.983905978838895,,-3.2895465650197795,-7867.988834293719,-7817.48575398056,0.02275041751538022,0.0013313877249631944
BP.MMNB-BP.MMNB,mwcs,base,0.9-1.2,0.005980096011496069,0.00039443344414626796,0.0005900137294856142,0.00040306274539933496,19.60385240699993,0.03346401274484427,7.632725893869997,8.32315668620686,0.18353264861351293,7.970266979388119,8.236873578837113,,-3.370242510405853,-7964.108006358666,-7913.6049260455065,0.023708644537039067,0.0011378082734972803
BP.MMNB-BP.SCYB,mwcs,base,0.9-1.2,0.0012293743354301757,0.00044616485808962435,0.0002877462011006942,0.0013338037337630743,9.730858345482195,0.0110766781502382,6.998914403116458,8.315210039508322,0.0970646583499983,7.885085771401702,8.316034386434593,,-3.691480665828334,-8258.571177255337,-8208.068096942177,0.016956499259848955,0.0006340782589602529
BP.MMNB-BP.SMNB,mwcs,base,0.9-1.2,0.009008183874206842,0.000893279767125677,0.0003763812866113547,0.0009657390844480796,7.481294828628805,0.011750696046833483,2.130531186156676,8.665115484245318,0.02624816913028158,6.821553071202403,8.658094710185097,,-3.5813210515076683,-8188.4402489704335,-8137.937168657274,0.019342877593354197,0.0007484179444816281
BP.MMNB-BP.VCAB,mwcs,base,0.9-1.2,-0.005580408072270792,0.0010168202710628504,0.0003975921341883329,0.000834668642811613,8.490949272685356,0.011984029566143957,7.161070675017853,8.532698624898606,0.03449406220357086,6.692178992514685,8.406766082752997,,-3.452575844902567,-8108.103655165237,-8057.600574852077,0.02024184945184848,0.0008668158457592139
BP.SCYB-BP.SCYB,mwcs,base,0.9-1.2,0.01542733673087842,-0.003891190519617086,0.21510157513033756,0.001470948272429835,6.003143459827626,0.01586428346803393,7.8351213874184396,8.765192228436486,0.06977505215693856,7.9526650679113935,8.54856183520618,,-3.4284765035097347,-8000.576650675081,-7950.073570361921,0.022422042790286242,0.0010109663773753704
BP.SCYB-BP.SMNB,mwcs,base,0.9-1.2,-0.003155842263383289,0.0009825985352181982,0.00036361651706944735,0.0014769256687610104,10.627595900344957,0.008561348539325192,6.591823275980007,8.488596348142362,0.03680795446765399,7.050233538416089,8.252014198011617,,-3.720235169605395,-8318.89231666567,-8268.38923635251,0.01702648565873359,0.0005548685591333554
BP.SCYB-BP.VCAB,mwcs,base,0.9-1.2,0.005554602468681482,0.000652621886194537,0.00037237765680531165,0.0012572059653458377,24.77801826942226,0.014456873918641495,6.844885299713214,8.74664196899154,0.0342563370785231,7.008006288101561,8.358506756605859,,-3.5686003399317157,-8150.128996834598,-8099.625916521439,0.017850978862435113,0.0007726051214522858
BP.SMNB-BP.SMNB,mwcs,base,0.9-1.2,0.010338572777623057,0.0038509166668070035,0.00893499209547211,0.0012314072309720652,3.6871819305721347,0.012291422037064398,7.225171201142485,8.544630158052772,0.04036563158839439,0.08591202190229286,7.845536643696982,,-3.24811763637364,-7794.802732166433,-7744.299651853274,0.02978139553656554,0.001562387631884454
BP.SMNB-BP.VARB,mwcs,base,0.9-1.2,0.015076243002603216,-0.014839089527959027,0.2744519376838106,0.0015166444232016883,178.55807140301272,0.00932905086286598,0.6286934187708515,8.397081380536767,0.02547259692211504,6.497119684704861,8.671328900793444,,-2.832673612041196,-7565.861875665859,-7515.358795352699,0.041463928789739916,0.003438016330883607
BP.SMNB-BP.VCAB,mwcs,base,0.9-1.2,-0.004272600424206191,0.0025648477955272967,0.0006888481512201223,0.0012830694275882566,1.6189169696023014,0.011443400467088052,5.8436162515799,8.264063642998602,0.0670303139103605,7.065769692339844,7.748899743002114,,-3.3439080235967893,-7909.178756538387,-7858.675676225227,0.024613017013537766,0.001252454711975483
BP.VARB-BP.VARB,mwcs,base,0.9-1.2,0.03563025820376392,-0.001148958329866466,0.7463982672442688,0.0008029279139882815,30.85490688005116,0.0006346411734987466,6.357739807832954,10.388894025906573,0.02694217615748272,7.748347288286181,8.831011431701022,,-2.357442706192883,-7068.907847067722,-7018.404766754563,0.07116991795813782,0.008798985782051303
BP.VCAB-BP.VCAB,mwcs,base,0.9-1.2,-0.006571529594988617,0.0017535614163853807,0.0005755903830557378,-0.00024261788629428296,123.60340878128693,0.011879585081227065,6.366143988740195,8.409422589125187,0.22646475519080272,7.564686920958656,7.775003623562976,,-3.4923725063068467,-8071.05243190357,-8020.549351590411,0.0223570807704447,0.0008848495115049278
