,dvvmethod,modelcase,freqband,a0,p1,a_{precip},p2,t_{shiftdays},S1,log10tmin1,log10tmax1,S2,log10tmin2,log10tmax2,b_{lin},logf,AIC,BIC,residu_absmean,residu_var
BP.EADB-BP.GHIB,stretching,wlin,0.9-1.2,-0.16054126146319406,-0.007234624529787048,0.008959637382926341,-0.0015111169842818037,161.248786327701,0.0009349271822712308,6.373244513527359,10.005754855521525,0.012479241797903079,7.922506702511865,10.009831709709799,4.469457076747431e-05,-3.357599943769224,-7594.6763594135955,-7539.96468907434,0.03196034544056083,0.0025272328510549343
BP.EADB-BP.JCNB,stretching,wlin,0.9-1.2,-0.13247587144433776,0.004179026943058427,0.008986879429726036,0.0038668422542012084,9.863716587597397,0.0015106645681778517,-0.278239153824841,10.964611145945252,0.010816529857613338,7.251577535671752,11.893160429005095,3.322876654403996e-05,-3.5012966086077473,-7599.108796974907,-7544.397126635651,0.040516515137780665,0.002938216011712382
BP.EADB-BP.JCSB,stretching,wlin,0.9-1.2,-0.18502765843932475,0.008704290162181102,0.003460362432208486,0.0076009355160023395,53.13106043986362,0.010976076966458055,2.872405844110847,7.577459867290442,0.031049069641769483,7.966226118891829,10.760676510287631,5.941060849975846e-05,-2.458512385927928,-7011.043835027533,-6956.332164688277,0.0740790464849736,0.008470482616490471
BP.EADB-BP.LCCB,stretching,wlin,0.9-1.2,-0.07473004213386163,-0.0007363135142562473,5.2286094812781236e-05,0.0005720280654172792,107.55729928627304,0.006697237663802642,5.7692817702794805,11.042739067294972,0.05300343836911371,7.5836283457272025,8.57729481485724,2.3338536556675222e-05,-3.8545249958985557,-7975.281397030005,-7920.569726690749,0.022980042121969097,0.00103995197024332
BP.EADB-BP.MMNB,stretching,wlin,0.9-1.2,-0.04820328700763754,-0.007168720702049118,0.016123041532736714,0.00022676988001602008,100.88854448358695,0.01695945887197756,6.49366633816694,7.666162909074401,0.04542630946958783,7.403217434107975,8.926738098671908,1.4459188687020273e-05,-3.7354704792334714,-8055.758006245715,-8001.046335906459,0.022562905786798544,0.0009356056395191338
BP.EADB-BP.SCYB,stretching,wlin,0.9-1.2,-0.04864219139885389,-0.006213409340871617,0.018096015368258105,-0.0009264125299740375,88.76867456919862,0.003995578211205244,7.128414007286304,7.801676027921523,0.11656138022055765,7.795481869151889,8.309607174541389,1.0886335107417488e-05,-7.326815898347299,-8204.868057221736,-8150.156386882481,0.018261597726354925,0.0006656423768964471
BP.EADB-BP.SMNB,stretching,wlin,0.9-1.2,-0.029080329580930715,-0.0013899281517876236,0.028995494093545293,0.0017175617621422166,5.2930570941952695,0.005349930766415488,6.35824932612168,8.704217396623994,0.04494206091970174,6.972931539670112,8.617021465690643,6.9047169884162815e-06,-7.059853671372595,-8168.008360659838,-8113.2966903205825,0.020080270518464345,0.000742033725061801
BP.EADB-BP.VCAB,stretching,wlin,0.9-1.2,-0.061964344292688364,-0.0025934052029410607,0.01213030266308619,0.0001989033038495298,151.18083655235858,0.00909250405756639,6.282860715441533,9.07836655615411,0.0299572590109272,7.019848491569154,9.094832203354613,1.8049408110699246e-05,-3.6387950709630137,-7823.914001901757,-7769.202331562501,0.02528582354781122,0.0014313702356733493
BP.FROB-BP.JCSB,stretching,wlin,0.9-1.2,0.024065552338271644,-0.007312280318685642,0.8708831653339085,0.0016603602390181204,137.4058012564362,0.004183075961653011,2.6599610850462843,11.836460225813195,0.011895123659951122,7.7318484786961825,9.5486430016421,8.95644624450075e-06,-8.406602068806322,-7744.418911475657,-7689.7072411364015,0.031339885043416345,0.0021513535257974485
BP.FROB-BP.LCCB,stretching,wlin,0.9-1.2,-0.0185239263196327,-0.00543872393761847,0.5672774688570466,0.0014354786868306774,0.293689067388601,0.008689359397493027,-0.8833671029697561,7.768322442751287,0.018032689120652312,6.707919493919696,9.334195127142003,8.216082566341489e-06,-7.375510567253763,-8181.229713207957,-8126.518042868701,0.018395803742682588,0.0008489319695407045
BP.FROB-BP.MMNB,stretching,wlin,0.9-1.2,-0.01730476395203262,-0.0015230844884290941,0.002529254114586566,0.0009826403068325302,4.27630529052791,0.0022556827935862173,1.3061980269574662,11.78092903919288,0.00928099140073609,4.557324750949144,11.453591657568444,1.91902933959979e-05,-4.279336316044729,-8258.64493712023,-8203.933266780974,0.020027115825683083,0.0007765098092030125
BP.FROB-BP.SCYB,stretching,wlin,0.9-1.2,-0.007232678918906747,0.003804284489173473,0.7785280067871444,0.0016347696887504088,37.43087782052876,0.0034713066900841426,1.6618545662654083,7.70209911249222,0.011977400653198843,5.911999557172171,9.894042353487977,8.554369513081831e-06,-6.987312069156585,-8049.847374400326,-7995.13570406107,0.02371765597182192,0.0011295749207161682
BP.FROB-BP.SMNB,stretching,wlin,0.9-1.2,-0.014885111247377852,-7.596037035213126e-05,0.7813910888740692,0.00028824956383352465,110.77832227305049,0.00393918892496341,5.787344503151256,11.064024045594058,0.011252436510556912,1.6018227694131009,8.709035685273017,7.317720871284785e-06,-6.914852300515969,-8303.687742608949,-8248.976072269692,0.018740511467983934,0.0006687336623147878
BP.FROB-BP.VCAB,stretching,wlin,0.9-1.2,-0.024810477533662754,-0.005176260510819943,0.5578878318139091,0.0011416603604208948,175.16295152966558,0.025357492674020873,5.8398090409105485,8.58051580188566,0.06404941649893663,7.786223505199127,8.461969251070524,7.285025651345303e-06,-3.9554964750237787,-8015.1748084296305,-7960.463138090375,0.024821775808231476,0.0011948876957978106
BP.GHIB-BP.GHIB,stretching,wlin,0.9-1.2,-0.1554860275584418,-0.002145726860059574,0.0077533750935192365,0.0013232787181002156,18.23617784196385,0.19897101675400575,7.739441170482284,7.9812037448570665,0.46228368377579443,7.909859216858688,7.993420188047085,3.3339124372067245e-05,-4.2983843821368115,-7918.053159528956,-7863.3414891897,0.026428668918695886,0.001410097255281442
BP.GHIB-BP.JCSB,stretching,wlin,0.9-1.2,-0.07705107106433888,0.0007942947531194289,0.002689820115086894,0.0016644200486662798,60.48214718436976,0.002440247278819897,4.286934521425025,10.304462606378278,0.03166219231248653,7.640298461277649,8.81682112544008,1.997814665373716e-05,-7.879339986767119,-7825.689418606348,-7770.9777482670925,0.030861617700510297,0.001657041551512493
BP.JCNB-BP.LCCB,stretching,wlin,0.9-1.2,-0.11360555557631061,0.00449299628089546,0.3751920695856976,-0.0013114407434777178,173.73449986143234,0.034308443499719635,6.679470434268047,7.680889663001524,0.2202426334168478,7.677596534085543,7.97432745723875,1.849940841685322e-05,-6.735080986023388,-7806.618286086053,-7751.906615746797,0.03070401778535635,0.0019309741307391383
BP.JCNB-BP.MMNB,stretching,wlin,0.9-1.2,0.004850221885912774,-0.007796767897882382,0.08687688250363121,-0.0006458619014509723,115.28650406722743,0.002222407517784006,1.1286910504207626,11.578445363709422,0.006951709581368874,0.047771888816463104,9.358604358741566,3.0126451197081704e-06,-6.798972389191842,-7467.14572216217,-7412.434051822915,0.0437090808658744,0.003974959337037894
